CarparkValue,latitude,longitude,Carpark_Number,dist
1636,1.2882100231321945,103.81865062406207,HE12,14.198388694692717
1233,1.2847577556273724,103.84549081920264,HLM,11.22029302604867
1236,1.2864639274830016,103.8185776051934,RHM,14.2078408683289
624,1.2836347060925148,103.8170992125994,BM29,14.379929237380964
1032,1.3075367428679028,103.7931643203566,Q81,17.167568950746283
1306,1.3133478208276774,103.76526174661916,C20,20.328435119340725
1492,1.316694831421104,103.80621058640855,FR3M,15.900518317196264
1350,1.3086255588801017,103.75908121333632,C32,20.945982920158308
1705,1.314488113913117,103.7676911655017,C6,20.07894949477717
1793,1.32157429694808,103.7376019001642,TG2,23.505797067271693
1047,1.2727949460019137,103.82487004638574,BP1,13.615214221388623
1072,1.3233129928646263,103.7376345093951,TG1,23.53352118453668
935,1.3221450186133532,103.73829445496791,TGM2,23.439889504164977
1385,1.2769805823717495,103.82885466487458,TE14,13.123286503507948
1625,1.2877077662690248,103.81152776946884,BM3,14.990567947965749
1747,1.289097998572853,103.81435801840551,BM9,14.676063649737873
334,1.3736487904344865,103.88632970593174,HG44,11.611733588801314
76,1.3743412526148546,103.88629764128476,HG64,11.676892215876682
1676,1.3739601888977977,103.94659596969208,PM27,9.538024378295294
325,1.3747001092714668,103.9477660061044,PM28,9.621601915729293
307,1.3571629858521417,103.93907329779316,TM36,7.711986299296334
1671,1.3561768438388753,103.9386072382438,TM37,7.608585684525733
618,1.350722444483305,103.93100089511256,T50,7.1591964185928765
1034,1.348748572139395,103.93170156744084,T51,6.927444489284143
957,1.353387177640572,103.95223471017071,TM43,7.279300409051265
482,1.3532075642039425,103.95276157879292,T15,7.264935383771796
393,1.3525500507189252,103.95231205447486,T16,7.187361800008047
194,1.351983646364974,103.95326871485506,T17,7.135348668135819
1113,1.3531859030595268,103.95393938972578,T18,7.27659890746694
402,1.3301727085826516,103.933815179244,B9,4.87061954458446
1025,1.3290283308949449,103.93370774408996,B10,4.752293609831978
1088,1.3291590929262411,103.93144509494518,B14,4.846268062110324
587,1.298808293680487,103.85193775629844,WCB,10.562768492195552
1825,1.3010632720874966,103.85411804993062,ACB,10.35350706483937
41,1.3006260281130555,103.85366487138282,CY,10.396849726785957
566,1.3721783233234015,103.85339638441604,AM46,13.92953363720874
797,1.3685098274818968,103.83867531323658,A12,14.936221816406295
1776,1.3563083436627226,103.843673799586,BE45,13.700010873783931
611,1.359196401814309,103.84197133762792,BE39,14.036307509317252
362,1.357311177642308,103.8426401513628,BE40,13.857487986596214
1611,1.3057837826214542,103.85679325981934,CR29,10.146890090347142
1208,1.3062670008791772,103.85680081928446,KLM,10.156556301602127
419,1.3740981072158882,103.87463332858997,SE34,12.443179164678883
1011,1.3215857812299312,103.87047836388102,KB7,9.215801360428227
413,1.3715119708787606,103.8736719069536,SE31,12.293721213144261
924,1.3348926471145106,103.73931109135069,J56,23.59920426908995
645,1.333976117262724,103.73911988019644,J57,23.597748943587273
527,1.334467592004372,103.7398580011142,J57L,23.529499931876146
1186,1.3457744896852968,103.71787986661154,J33,26.198456709993245
1243,1.3470676632759255,103.7200857457935,J34,25.996513486306903
1578,1.3454251335374907,103.71339091636744,BL8,26.673475020576763
650,1.3521719203242202,103.71545644450627,J36,26.640961274563924
1465,1.349926571439503,103.72450994802102,J54,25.604102143124848
1482,1.348637314625565,103.72429089393296,J55,25.589536416394957
529,1.3479248544356488,103.72526852277466,J43,25.4638743614736
229,1.3497541372772162,103.71905836585904,J46,26.183609510733586
835,1.323573603896078,103.86890029223365,KB1,9.466396976548706
1823,1.3227723905559816,103.86863367566608,GBM,9.456795881623362
222,1.354552223660296,103.8699887080886,SE14,11.248239634323275
875,1.3539013434633929,103.86861037078488,SE50,11.317488149700994
507,1.350029732229152,103.72287839227994,J40,25.781992604166494
1259,1.3450705393275209,103.72065037678222,JM1,25.88058436410688
1449,1.3458066607061037,103.72047490460932,J32,25.919618317400367
721,1.3670355338571134,103.8381810968511,A11,14.883117736229131
314,1.3197304025188716,103.8611096164489,TR1,10.104560978758867
973,1.2792629708630583,103.82718857876978,JBM,13.286299658950881
358,1.2799822967820182,103.8250799734771,TE2,13.514477665224303
841,1.3062497454836393,103.854698193613,CR31,10.385485677261807
1175,1.3364297229134372,103.73809826514368,J1,23.768772724444204
1391,1.338607760000444,103.73677131352407,J2,23.968039224190658
380,1.3394948365194128,103.73548477933971,J3,24.130288642444576
477,1.3473580948340915,103.93686435633244,T37,6.662737557720203
761,1.3208280346346724,103.86965512421516,KB3,9.26634107600262
1871,1.320239287540183,103.86912462402007,KBM,9.295357995568125
691,1.33753016931853,103.74190260101643,J4,23.3852403968194
467,1.3211726817146217,103.73891401431416,TGM1,23.35467719296378
1280,1.3206349930588046,103.73897739773945,TG3,23.338401642326325
488,1.3218251384145028,103.741092696946,TG6,23.12706001083428
217,1.3201453629777036,103.74229100005508,TG7,22.965938317065294
190,1.3076001787299971,103.85494102404714,CR30,10.389130929229685
694,1.3072102800045216,103.85535244045651,RCM,10.335427605207338
909,1.2761844360827463,103.83890822772874,EPM,12.020390849566363
223,1.323261328455711,103.73932836739311,TGM3,23.346833940067523
1078,1.3205577050364674,103.87006187688011,KB14,9.212953740213202
1672,1.3482894562444392,103.72203231052173,J41,25.821918843105628
1102,1.2802444113188307,103.82527962420488,JBM2,13.49038030226871
801,1.3501574988556255,103.72134748501912,J39,25.949872721542896
377,1.3514364016790492,103.72459415698223,J52,25.64062602190203
1138,1.3535560740797064,103.72462951363345,J51,25.702511309001032
1699,1.3507409504176222,103.7267263759889,J53,25.391403678483055
1237,1.3545340856241253,103.9533458846943,T19,7.418331735809725
1724,1.3534557986298248,103.7189494838404,J49,26.305877999540897
1313,1.3468873357936169,103.71666938291004,J27,26.35937166624881
1857,1.2818252116961135,103.80734533801882,TB14,15.471882936154973
444,1.3485028571990136,103.75832244183836,U19,21.95602190593242
386,1.3480295181731,103.74410352317253,U6,23.45158764543951
346,1.3469184920371335,103.75789892567144,U45,21.94780076792629
473,1.3473553282589283,103.74369552196,BBM7,23.47397292864644
1131,1.3500135843193608,103.85096301847568,BE12,12.638227481040532
1262,1.3712761200039465,103.87935014972332,HG41,11.86782790439958
1204,1.3721131172452157,103.88430415056742,HG43,11.604802703917453
108,1.322029473497494,103.8592002299238,MN1,10.393749980180576
5,1.3205402150734105,103.85943053232852,MNRM,10.310948201515759
86,1.3180496887521358,103.8563684203736,MN2,10.54026165976399
1877,1.314883872279801,103.77075500850212,C7,19.748502082331257
1520,1.3138577294992604,103.76389656958308,C17,20.486631052837915
510,1.3115042554415337,103.76565077719496,C20M,20.258347453213787
1892,1.3482322058800873,103.93531166289048,T41,6.787798857007593
1230,1.3492885418065712,103.93272407564686,T42,6.960238055099019
1827,1.3489369754158578,103.93350745764536,TM42,6.903554061877254
1501,1.3521727670439545,103.71847993384787,J48,26.31713733681932
1491,1.3249913646328706,103.84245992582508,BH1,12.253805705178182
1891,1.3260459729073215,103.84276130300172,BH2,12.261981928833126
1454,1.3126129574907273,103.85532195310904,BKE7,10.478102294399404
224,1.324908970644259,103.85819063929866,BR5,10.617453870200464
179,1.3215277953752598,103.85465630079302,BRM3,10.847133523658957
1218,1.32273032442989,103.85607403368186,BRM4,10.746163132713157
1448,1.3284311670898454,103.8866722993353,M16,8.001721813947968
434,1.3275904526526752,103.8872655617889,M20,7.8948475204771285
1122,1.3272818522606618,103.8859150359735,M35,8.001529535060708
64,1.3267035184005498,103.8854559964632,M36,8.009868126166943
757,1.3276774087929712,103.8856050735695,M37,8.054387472033959
344,1.3271530486482317,103.88747666495222,M38,7.848372060246723
520,1.3262662777141847,103.88801858425,MM3,7.743837284232494
1121,1.3031546710952773,103.90756132229323,MP12,4.620712810400399
1188,1.301686373156584,103.90885093288676,MP13,4.429302041234159
1769,1.3029669835986282,103.90991363196858,MP1M,4.369772752050186
1452,1.3340049020680769,103.86921395965454,PP1,9.974315515928113
237,1.3326801447688823,103.86605451410936,PP2,10.205722171569603
958,1.3336019833981616,103.86584452814029,PP3,10.276140372427992
1666,1.3347329118377305,103.86611923734664,PP4,10.312090092897042
638,1.336313101518534,103.86322285844972,PP5,10.678883586159383
894,1.3349161381898265,103.85359156385024,TP10,11.547427507747253
824,1.3358886108582313,103.85240772188094,TP14,11.713718353098876
1745,1.333245746223494,103.8483161533347,TP16,11.995454119728183
1023,1.3337730224911777,103.84859327961225,TP17,11.992126480689409
584,1.332589320673887,103.85074446814262,TP18,11.719698755386068
934,1.3361796317904415,103.8482414982292,TP2,12.142806460721488
281,1.33824903865788,103.84407314986844,TPMG,12.660322469926392
526,1.3362631051523637,103.85378859000105,TP36,11.596152420690666
